cdr type,cdr datetime,call duration,last calling cellid,user_id
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,7566424924061690786
MtSMSRecord,20180713112603,,,6213509167247245458
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112459,,12053.0,7228537726317250459
MtCallRecord,20180713112459,,,7228537726317250459
MtSMSRecord,20180713112604,,,6766153947758062725
MoCallRecord,20180713112525,,22104.0,3518325072195071381
MtCallRecord,20180713112525,,,3518325072195071381
MtSMSRecord,20180713112604,,,7566424924061690786
MoCallRecord,20180713112550,,10382.0,3132163291239807696
MtCallRecord,20180713112550,,,3132163291239807696
MoCallRecord,20180713112544,,34414.0,4851315476268202242
MtCallRecord,20180713112544,,,4851315476268202242
MtSMSRecord,20180713112604,,,3384066821637594455
MtCallRecord,20180713112538,,,5272846797122810422
MoCallRecord,20180713112540,,10181.0,6869203182031062921
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,6766153947758062725
MtSMSRecord,20180713112603,,,3384066821637594455
MtCallRecord,20180713112242,,,4978486085392141370
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112242,,22532.0,4978486085392141370
MoCallRecord,20180713112530,,12153.0,7711369079878346959
MtCallRecord,20180713112530,,,7711369079878346959
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112237,,22453.0,6565310782443756042
MtCallRecord,20180713112237,,,6565310782443756042
MtCallRecord,20180713112458,,,2158983217689738073
MtSMSRecord,20180713112604,,,7304286893272605299
MoSMSRecord,20180713112604,,20364.0,4214013469238093724
MoCallRecord,20180713112458,,20431.0,2158983217689738073
MoCallRecord,20180713112541,,12042.0,3482720589873596836
MtCallRecord,20180713112541,,,3482720589873596836
MoCallRecord,20180713112555,,10201.0,269229427178108684
MoCallRecord,20180713112533,,20473.0,1704849105820264743
MtCallRecord,20180713112533,,,1704849105820264743
MoCallRecord,20180713112529,,12803.0,5119601231977680952
MoCallRecord,20180713112555,,12023.0,1130468566246921274
MtCallRecord,20180713112529,,,5119601231977680952
MtCallRecord,20180713112555,,,1130468566246921274
MoSMSRecord,20180713112603,,34778.0,8195155193754818402
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,6647700916843399878
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,2953580931019735356
MtSMSRecord,20180713112604,,,3384066821637594455
MoCallRecord,20180713112434,,20821.0,2006803645466859287
MtCallRecord,20180713112434,,,2006803645466859287
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,6647700916843399878
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112557,,12012.0,1140270022235474183
MoCallRecord,20180713112557,,22162.0,451169879078797476
MtCallRecord,20180713112557,,,451169879078797476
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112542,,10271.0,7073933268395244661
MtCallRecord,20180713112542,,,7073933268395244661
IncGatewayRecord,20180713112520,,35174.0,3640543710741424881
MtCallRecord,20180713112520,,,3640543710741424881
MtSMSRecord,20180713112603,,,6766153947758062725
